date_time,open,high,low,close,volume
07-10-2023,23.4,24.22,23.09,23.3,237786.789
08-10-2023,23.3,23.63,23.07,23.22,123523.921
09-10-2023,23.22,23.36,21.6,22.1,307604.159
10-10-2023,22.1,22.48,21.7,22.11,241734.684
11-10-2023,22.11,22.41,21.63,22.02,346375.615
12-10-2023,22.02,22.04,20.92,21.29,276859.223
13-10-2023,21.29,22.2,21.12,21.85,229881.946
14-10-2023,21.85,22.31,21.81,21.99,173366.508
15-10-2023,21.99,22.17,21.67,21.93,162763.12
16-10-2023,21.93,24.9,21.89,23.95,845746.856
17-10-2023,23.95,24.58,23.46,23.93,571623.381
18-10-2023,23.93,24.43,23.36,23.41,320356.061
19-10-2023,23.41,25.77,23.11,24.93,599464.155
20-10-2023,24.93,27.54,24.73,27.02,832843.231
21-10-2023,27.02,30.33,26.65,29.33,1192299.576
22-10-2023,29.33,30,28.1,29.05,616172.956
23-10-2023,29.05,32.98,28.75,31.89,1503837.726
24-10-2023,31.89,32.59,29.52,30.16,1286804.265
25-10-2023,30.16,33.93,29.99,32.44,1339117.295
26-10-2023,32.44,33.3,30.71,32.76,758853.835
27-10-2023,32.76,33.39,31.25,31.73,718787.488
28-10-2023,31.73,32.51,31.35,31.63,290745.751
29-10-2023,31.63,33.21,31.28,32.82,368612.461
30-10-2023,32.82,35.34,32.31,34.94,699860.033
31-10-2023,34.94,38.62,34.83,38.4,1146830.656
01-11-2023,38.4,46.81,37.84,41.13,2807701.911
02-11-2023,41.13,44.56,38.63,40.23,1936524.769
03-11-2023,40.23,40.25,38,39.45,1291419.689
04-11-2023,39.45,42.72,39.01,42.4,1396794.662
05-11-2023,42.4,42.85,40.07,41.16,690617.995
06-11-2023,41.16,42.2,39.66,42.13,677922.435
07-11-2023,42.13,44.79,40.08,42.92,1392349.779
08-11-2023,42.92,43.88,42.25,43.12,735507.441
09-11-2023,43.12,48.89,41,45.29,2322248.277
10-11-2023,45.29,57.53,45.08,56.72,2767673.581
11-11-2023,56.72,64,53.54,56.36,3734459.922
12-11-2023,56.36,61.92,54.51,56.29,1965514.752
13-11-2023,56.29,59.83,51.5,51.63,2223332.439
14-11-2023,51.63,58.02,51.13,56.82,2413839.184
15-11-2023,56.82,67.14,56.14,65.45,2855243.41
16-11-2023,65.45,68.2,56.38,57.8,2609355.233
17-11-2023,57.8,60.58,54.04,58.51,3006758.138
18-11-2023,58.51,59.39,54.68,58.56,1552117.816
19-11-2023,58.56,62.11,56.63,61.1,1402334.26
20-11-2023,61.1,61.32,55.92,56.57,1293129.624
21-11-2023,56.57,57.37,51.21,51.69,1628377.395
22-11-2023,51.69,58.93,51.43,57.56,1254702.7
23-11-2023,57.56,59.63,56.14,56.52,997094.596
24-11-2023,56.52,58.78,56.19,56.86,785490.612
25-11-2023,56.86,59.8,55.67,58.81,755208.838
26-11-2023,58.81,59.03,56.12,57.54,481919.305
27-11-2023,57.54,58.07,53.48,55.07,863945.222
28-11-2023,55.07,58.64,53.95,58.18,1013102.987
29-11-2023,58.18,61.78,57.75,59.32,1384511.534
30-11-2023,59.32,61.71,58.76,59.29,1167017.419
01-12-2023,59.29,61.9,58.61,59.75,1068703.165
02-12-2023,59.75,63.91,59.67,63.66,966568.001
03-12-2023,63.66,65.55,62.24,62.97,933226.336
04-12-2023,62.97,65.28,59.4,61.63,1509945.361
05-12-2023,61.63,62.64,59.1,61.02,1317879.355
06-12-2023,61.02,66.65,61.02,61.84,2660879.394
07-12-2023,61.84,69.43,61.63,67.76,2195113.127
08-12-2023,67.76,75.61,67.75,74.92,2235219.016
09-12-2023,74.92,77.81,71.58,72.3,2098654.512
10-12-2023,72.3,74.88,70.68,74.87,1087481.226
